price,bed,full_bath,half_bath,property_area,years_old,distance_downtown,lot_size,basement,garage,walk_score,bike_score,transit_score,house,condo,townhouse
139900,1.0,1.0,0.0,792.0,42.0,7.54,792.0,0.0,0.0,59,91,44,0,1,0
179900,2.0,2.0,0.0,1026.0,0.0,7.51,1026.0,0.0,0.0,59,91,44,0,1,0
390000,2.0,2.0,0.0,1065.0,27.0,1.62,1065.0,0.0,0.0,55,91,60,0,1,0
398800,2.0,2.0,0.0,1087.0,65.0,1.62,1087.0,0.0,1.0,55,91,60,0,1,0
478800,4.0,3.0,1.0,1703.0,31.0,18.52,3444.0,1.0,1.0,13,71,39,1,0,0
197500,2.0,2.0,0.0,669.0,28.0,15.27,669.0,0.0,0.0,0,30,0,0,1,0
399900,3.0,2.0,1.0,1250.0,0.0,14.26,2702.0,1.0,1.0,0,0,0,1,0,0
484900,4.0,3.0,0.0,1509.0,46.0,11.03,9192.0,1.0,1.0,0,0,0,1,0,0
689900,3.0,2.0,1.0,1794.0,4.0,2.17,314.0,1.0,1.0,57,94,59,1,0,0
279000,3.0,2.0,0.0,1239.0,59.0,16.15,1239.0,1.0,1.0,20,54,46,0,0,1
524800,3.0,3.0,1.0,2138.0,31.0,12.91,5286.0,1.0,1.0,8,67,30,1,0,0
268000,3.0,1.0,1.0,1098.0,10.0,13.86,1098.0,1.0,1.0,21,42,38,0,0,1
449000,3.0,2.0,1.0,1973.0,15.0,13.82,4333.0,1.0,1.0,22,60,34,1,0,0
519000,3.0,2.0,1.0,1987.0,43.0,21.32,3272.0,1.0,1.0,8,55,35,1,0,0
925000,4.0,3.0,1.0,2964.0,-1.0,10.43,6479.0,1.0,1.0,23,50,43,1,0,0
634900,4.0,3.0,0.0,1066.0,11.0,6.08,4994.0,1.0,0.0,37,62,46,1,0,0
599000,5.0,3.0,0.0,1520.0,10.0,11.12,5942.0,1.0,1.0,42,73,35,1,0,0
559900,4.0,2.0,1.0,1900.0,12.0,8.97,4844.0,1.0,1.0,32,70,39,1,0,0
945000,5.0,3.0,1.0,1860.0,62.0,12.83,571.0,1.0,1.0,26,69,35,1,0,0
405000,3.0,2.0,1.0,1376.0,57.0,18.54,3692.0,1.0,1.0,48,50,23,1,0,0
589900,3.0,3.0,1.0,1548.0,18.0,14.72,5113.0,1.0,1.0,40,73,29,1,0,0
220000,2.0,2.0,0.0,840.0,18.0,18.87,840.0,0.0,1.0,30,73,40,0,1,0
239000,2.0,2.0,0.0,840.0,18.0,18.91,840.0,0.0,0.0,30,73,40,0,1,0
237500,2.0,2.0,0.0,846.0,3.0,18.92,846.0,0.0,0.0,30,73,40,0,1,0
179000,2.0,2.0,0.0,966.0,28.0,7.28,966.0,0.0,0.0,27,64,57,0,1,0
207900,2.0,2.0,0.0,1041.0,1.0,7.35,1041.0,0.0,0.0,27,64,57,0,1,0
439900,2.0,2.0,0.0,636.0,58.0,1.76,636.0,0.0,0.0,26,57,39,0,1,0
550000,2.0,2.0,0.0,854.0,29.0,1.76,854.0,0.0,0.0,26,57,39,0,1,0
349999,2.0,2.0,0.0,1081.0,39.0,1.21,1081.0,0.0,0.0,91,95,69,0,1,0
344900,2.0,2.0,0.0,1118.0,56.0,1.21,1118.0,0.0,1.0,91,95,69,0,1,0
279900,2.0,2.0,0.0,821.0,19.0,14.31,821.0,0.0,0.0,19,45,39,0,1,0
249500,1.0,1.0,0.0,676.0,59.0,14.27,676.0,0.0,1.0,19,45,39,0,1,0
294900,2.0,1.0,0.0,758.0,27.0,1.02,758.0,0.0,0.0,91,97,74,0,1,0
317000,2.0,1.0,0.0,761.0,16.0,1.14,761.0,0.0,0.0,91,97,74,0,1,0
248000,1.0,1.0,0.0,536.0,21.0,1.02,536.0,0.0,0.0,91,97,74,0,1,0
175000,1.0,1.0,0.0,541.0,55.0,0.67,541.0,0.0,0.0,90,94,81,0,1,0
279900,2.0,1.0,0.0,1216.0,12.0,0.7,1216.0,0.0,0.0,90,94,81,0,1,0
205000,2.0,1.0,0.0,811.0,23.0,0.7,811.0,0.0,0.0,90,94,81,0,1,0
185000,1.0,1.0,0.0,536.0,55.0,0.7,536.0,0.0,0.0,90,94,81,0,1,0
599800,3.0,3.0,1.0,1114.0,18.0,2.2,1114.0,0.0,1.0,84,98,56,0,0,1
169900,2.0,1.0,0.0,558.0,27.0,16.72,558.0,0.0,0.0,48,79,47,0,1,0
227000,1.0,1.0,0.0,575.0,13.0,3.65,575.0,0.0,0.0,75,78,52,0,1,0
169000,2.0,1.0,0.0,841.0,41.0,7.29,841.0,1.0,0.0,43,67,52,0,0,1
345900,3.0,2.0,1.0,1852.0,0.0,11.19,2648.0,0.0,1.0,32,58,44,0,0,1
309000,3.0,2.0,1.0,1242.0,40.0,18.27,1242.0,1.0,0.0,7,34,33,0,0,1
619000,2.0,2.0,0.0,1489.0,40.0,1.0,1489.0,0.0,1.0,90,98,78,0,1,0
619000,2.0,2.0,0.0,1489.0,40.0,1.0,1489.0,0.0,1.0,90,96,78,0,1,0
459900,2.0,2.0,0.0,1581.0,43.0,14.33,1581.0,0.0,0.0,21,65,37,0,1,0
