latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage,mls
,,1963.0,57.0,,,,0.0,0.0,
,,2016.0,4.0,,1944.99,4435,1.0,0.0,A1044717
,,1997.0,23.0,,1902.18,6070,1.0,1.0,A1045670
,,1980.0,40.0,,1858.94,5199,1.0,1.0,A1045430
,,1973.0,47.0,,2209.63,4499,1.0,1.0,A1045334
,,1967.0,53.0,,1249.67,,0.0,1.0,A1043927
,,1912.0,108.0,,,,0.0,0.0,
,,2005.0,15.0,,3242.66,6135,1.0,1.0,A1045720
50.939225,-114.070944,2019.0,1.0,11.76,1945.42,6964,1.0,0.0,A1045291
,,2009.0,11.0,,3112.94,6048,1.0,1.0,A1045664
